Date : 2026-02-23 15:05:27
Directory : d:\WEBProgramozás\laguna-lovas-klub
Total : 96 files,  16875 codes, 599 comments, 2854 blanks, all 20328 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useProducts.js                       | JavaScript         |        100 |         25 |         14 |        139 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useTheme.js                          | JavaScript         |         33 |          5 |          7 |         45 |
| d:\WEBProgramozás\laguna-lovas-klub\src\main.js                                          | JavaScript         |         13 |          2 |          6 |         21 |
| d:\WEBProgramozás\laguna-lovas-klub\src\router\index.js                                  | JavaScript         |        122 |          5 |          9 |        136 |
| d:\WEBProgramozás\laguna-lovas-klub\src\services\competitionService.js                   | JavaScript         |        155 |         47 |         29 |        231 |
| d:\WEBProgramozás\laguna-lovas-klub\src\services\contactService.js                       | JavaScript         |         49 |          2 |         12 |         63 |
| d:\WEBProgramozás\laguna-lovas-klub\src\services\horseImageService.js                    | JavaScript         |         82 |         35 |         20 |        137 |
| d:\WEBProgramozás\laguna-lovas-klub\src\services\horseService.js                         | JavaScript         |        142 |         53 |         31 |        226 |
| d:\WEBProgramozás\laguna-lovas-klub\src\services\productService.js                       | JavaScript         |        166 |         62 |         38 |        266 |
| d:\WEBProgramozás\laguna-lovas-klub\src\services\supabase.js                             | JavaScript         |          7 |          0 |          4 |         11 |
| d:\WEBProgramozás\laguna-lovas-klub\src\utils\formatting.js                              | JavaScript         |         36 |          5 |          5 |         46 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminCompetitionListView.vue               | vue                |        100 |          4 |         16 |        120 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminContactListView.vue                   | vue                |         11 |          0 |          2 |         13 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminHorseListView.vue                     | vue                |         95 |          4 |         15 |        114 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminProductListView.vue                   | vue                |        154 |          6 |         21 |        181 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\ContactView.vue                            | vue                |         22 |          0 |          3 |         25 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\HorseDetailView.vue                        | vue                |        183 |         15 |         24 |        222 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\ProductDetailView.vue                      | vue                |        192 |         18 |         30 |        240 |
| d:\WEBProgramozás\laguna-lovas-klub\src\views\ProductListView.vue                        | vue                |         90 |          6 |         13 |        109 |
| d:\WEBProgramozás\laguna-lovas-klub\vite.config.js                                       | JavaScript         |         15 |          1 |          3 |         19 |
| Total                                                                                    |                    |     16,875 |        599 |      2,854 |     20,328 |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
