"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminCompetitionListView.vue", "vue", 0, 0, 0, 0, 100, 0, 0, 0, 4, 16, 120
"d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminContactListView.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminHorseListView.vue", "vue", 0, 0, 0, 0, 95, 0, 0, 0, 4, 15, 114
"d:\WEBProgramozás\laguna-lovas-klub\src\views\AdminProductListView.vue", "vue", 0, 0, 0, 0, 154, 0, 0, 0, 6, 21, 181
"d:\WEBProgramozás\laguna-lovas-klub\src\views\ContactView.vue", "vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\WEBProgramozás\laguna-lovas-klub\src\views\HorseDetailView.vue", "vue", 0, 0, 0, 0, 183, 0, 0, 0, 15, 24, 222
"d:\WEBProgramozás\laguna-lovas-klub\src\views\ProductDetailView.vue", "vue", 0, 0, 0, 0, 192, 0, 0, 0, 18, 30, 240
"d:\WEBProgramozás\laguna-lovas-klub\src\views\ProductListView.vue", "vue", 0, 0, 0, 0, 90, 0, 0, 0, 6, 13, 109
"d:\WEBProgramozás\laguna-lovas-klub\vite.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 3233, 13, 6502, 1839, 4550, 8, 727, 3, 599, 2854, 20328
